2024-10-24T13:03:35.897424670Z I1024 13:03:35.897421       1 base_controller.go:110] Starting #4 worker of ValidatingWebhookCABundleInjector controller ...
2024-10-24T13:03:35.897435090Z I1024 13:03:35.897428       1 base_controller.go:110] Starting #5 worker of ValidatingWebhookCABundleInjector controller ...
2024-10-24T13:03:35.897531840Z I1024 13:03:35.897477       1 admissionwebhook.go:116] updating validatingwebhookconfiguration multus.openshift.io with the service signing CA bundle
2024-10-24T13:03:35.897574830Z I1024 13:03:35.897486       1 admissionwebhook.go:116] updating validatingwebhookconfiguration performance-addon-operator with the service signing CA bundle
2024-10-24T13:03:35.897638590Z I1024 13:03:35.897526       1 admissionwebhook.go:116] updating validatingwebhookconfiguration snapshot.storage.k8s.io with the service signing CA bundle
2024-10-24T13:03:35.898217069Z I1024 13:03:35.898185       1 base_controller.go:73] Caches are synced for ServiceServingCertController 
2024-10-24T13:03:35.898217069Z I1024 13:03:35.898196       1 base_controller.go:73] Caches are synced for ServiceServingCertUpdateController 
2024-10-24T13:03:35.898338660Z I1024 13:03:35.898252       1 base_controller.go:110] Starting #1 worker of ServiceServingCertUpdateController controller ...
2024-10-24T13:03:35.898338660Z I1024 13:03:35.898267       1 base_controller.go:110] Starting #2 worker of ServiceServingCertUpdateController controller ...
2024-10-24T13:03:35.898338660Z I1024 13:03:35.898278       1 base_controller.go:110] Starting #3 worker of ServiceServingCertUpdateController controller ...
2024-10-24T13:03:35.898338660Z I1024 13:03:35.898286       1 base_controller.go:110] Starting #4 worker of ServiceServingCertUpdateController controller ...
2024-10-24T13:03:35.898338660Z I1024 13:03:35.898295       1 base_controller.go:110] Starting #5 worker of ServiceServingCertUpdateController controller ...
2024-10-24T13:03:35.898354340Z I1024 13:03:35.898203       1 base_controller.go:110] Starting #1 worker of ServiceServingCertController controller ...
2024-10-24T13:03:35.898400240Z I1024 13:03:35.898365       1 base_controller.go:110] Starting #2 worker of ServiceServingCertController controller ...
2024-10-24T13:03:35.898400240Z I1024 13:03:35.898394       1 base_controller.go:110] Starting #3 worker of ServiceServingCertController controller ...
2024-10-24T13:03:35.898409200Z I1024 13:03:35.898401       1 base_controller.go:110] Starting #4 worker of ServiceServingCertController controller ...
2024-10-24T13:03:35.898418510Z I1024 13:03:35.898408       1 base_controller.go:110] Starting #5 worker of ServiceServingCertController controller ...
2024-10-24T13:03:35.997448765Z I1024 13:03:35.997397       1 base_controller.go:73] Caches are synced for ConfigMapCABundleInjector 
2024-10-24T13:03:35.997543615Z I1024 13:03:35.997528       1 base_controller.go:110] Starting #1 worker of ConfigMapCABundleInjector controller ...
2024-10-24T13:03:35.997574325Z I1024 13:03:35.997563       1 base_controller.go:110] Starting #2 worker of ConfigMapCABundleInjector controller ...
2024-10-24T13:03:35.997600145Z I1024 13:03:35.997590       1 base_controller.go:110] Starting #3 worker of ConfigMapCABundleInjector controller ...
2024-10-24T13:03:35.997624865Z I1024 13:03:35.997615       1 base_controller.go:110] Starting #4 worker of ConfigMapCABundleInjector controller ...
2024-10-24T13:03:35.997650825Z I1024 13:03:35.997641       1 base_controller.go:110] Starting #5 worker of ConfigMapCABundleInjector controller ...
2024-10-24T13:03:35.997717535Z I1024 13:03:35.997704       1 configmap.go:109] updating configmap default/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:35.998042955Z I1024 13:03:35.998014       1 configmap.go:109] updating configmap kube-node-lease/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:35.998225625Z I1024 13:03:35.998209       1 configmap.go:109] updating configmap kube-public/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:35.998401765Z I1024 13:03:35.998386       1 configmap.go:109] updating configmap kube-system/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:35.998534815Z I1024 13:03:35.998519       1 configmap.go:109] updating configmap openshift-apiserver-operator/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:35.999392225Z I1024 13:03:35.999374       1 base_controller.go:73] Caches are synced for LegacyVulnerableConfigMapCABundleInjector 
2024-10-24T13:03:35.999431755Z I1024 13:03:35.999420       1 base_controller.go:110] Starting #1 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2024-10-24T13:03:35.999459955Z I1024 13:03:35.999449       1 base_controller.go:110] Starting #2 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2024-10-24T13:03:35.999485515Z I1024 13:03:35.999475       1 base_controller.go:110] Starting #3 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2024-10-24T13:03:35.999511315Z I1024 13:03:35.999501       1 base_controller.go:110] Starting #4 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2024-10-24T13:03:35.999536675Z I1024 13:03:35.999527       1 base_controller.go:110] Starting #5 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2024-10-24T13:03:36.023429341Z I1024 13:03:36.023371       1 configmap.go:109] updating configmap openshift-apiserver/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:36.023668661Z I1024 13:03:36.023615       1 configmap.go:109] updating configmap openshift-authentication-operator/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:36.024088891Z I1024 13:03:36.024049       1 configmap.go:109] updating configmap openshift-authentication-operator/service-ca-bundle with the service signing CA bundle
